0,1,2,3,4,5,6,7,8,9,10
-0.00018511822,-1.891008e-05,-0.00012804671,-3.9125985e-05,5.504193e-05,-2.993409e-05,0.00010952617,-3.2590968e-05,1.8089831e-06,-2.088167e-06,5.1435465e-05
-9.561876e-05,-7.924402e-06,-6.605995e-05,-1.998012e-05,2.7887609e-05,-1.4657297e-05,5.6992805e-05,-1.7348759e-05,-1.2379387e-06,2.144626e-06,2.807911e-05
-2.529168e-05,6.0915686e-06,-1.619422e-05,2.813335e-07,-1.1485083e-06,-5.6447666e-06,1.1112846e-05,-4.323465e-06,-7.3131655e-06,1.1503973e-05,1.529844e-05
-2.6200996e-05,6.983478e-06,-1.393333e-05,7.7521344e-07,-6.165796e-07,-6.809286e-06,1.5542693e-05,-1.167975e-05,-6.2642703e-06,1.1635049e-05,6.194694e-06
-4.13555e-05,1.6910244e-05,-4.6640844e-06,-9.807527e-06,-2.8262627e-06,-1.5361176e-05,3.583353e-05,1.0890146e-05,8.114841e-06,2.4136903e-05,9.002155e-06
-6.642021e-05,2.9510406e-05,6.2696495e-06,-5.189993e-05,-9.092931e-06,-2.484803e-05,7.546384e-05,4.5265795e-05,3.1469728e-05,3.7979607e-05,2.5994637e-05
-6.3237014e-05,9.00028e-06,-7.3934925e-06,-4.387417e-05,2.766817e-06,-1.5457454e-05,4.1959996e-05,1.590516e-05,3.4133278e-05,3.8611197e-05,1.9325918e-05
-7.600628e-05,1.0079538e-06,-1.1280831e-05,-2.5981828e-05,2.223125e-06,2.6880139e-06,6.832737e-06,-4.420558e-06,7.659453e-06,7.9208294e-05,2.3774988e-05
-6.591816e-05,5.643838e-06,-1.4659459e-05,-1.5376376e-05,7.394294e-06,-1.0545733e-05,2.429284e-05,1.2152456e-06,2.289652e-05,6.048958e-05,2.6842388e-05
-7.827002e-05,1.2450898e-05,-3.6248034e-07,-9.006038e-06,2.9175922e-06,-2.5020086e-05,2.8645927e-05,8.1570414e-07,2.1561487e-05,2.1142921e-05,4.994023e-06
-0.00010617719,-1.15244875e-05,-9.041022e-06,-2.529648e-05,-1.8317616e-05,-5.9964727e-06,1.121204e-05,2.5247946e-05,7.029229e-07,3.6930734e-05,-7.232875e-05
-0.00012766752,8.081727e-06,-4.4216307e-05,-9.933427e-06,-4.1591484e-06,-4.7486843e-05,3.2348322e-05,1.8218057e-05,1.25650695e-05,4.1706207e-05,-6.6259418e-06
-0.00015241557,2.3661463e-05,-1.4871839e-05,-1.3067164e-05,4.708776e-05,-6.650196e-05,0.00011276511,-5.8210926e-06,-4.6901214e-06,-7.8511985e-06,8.556677e-05
-0.00021300108,1.2182305e-05,7.0811784e-06,-4.480183e-06,8.81017e-05,-0.000120389755,0.00020959508,-4.2382173e-05,5.168747e-07,-3.8539947e-05,0.00014621422
-0.0002747959,-1.6943484e-05,-1.7962297e-05,2.5775393e-05,0.00017976097,-0.00016079588,0.0003305044,-0.00014262932,-8.055227e-06,-0.00011966081,0.00012919238
-0.00036141757,-6.523623e-05,-7.960254e-05,8.813942e-05,0.0003630998,-0.00026297366,0.0006089606,-0.00033059763,-1.5365526e-05,-0.00021156718,-4.554075e-06
-0.00058241736,-0.00022580397,-0.0002393411,0.000278789,0.0009087049,-0.00047336717,0.0016468308,-0.0009229033,-0.00017662544,-0.0007191625,-0.000449816
-0.00153487,-0.0013056493,-0.0013375253,0.0014512622,0.0045534936,-0.0016387736,0.0075658737,-0.005452521,-0.0017746886,-0.004281559,-0.004662847
-0.014421363,-0.016806785,-0.01814753,0.019229136,0.057103984,-0.016764103,0.092907816,-0.068487205,-0.023788078,-0.057223022,-0.061827086
-0.020943644,-0.024595793,-0.02730373,0.02840287,0.08424039,-0.024341369,0.13598451,-0.099631034,-0.034322392,-0.08535974,-0.090331875
-0.008703756,-0.0064277966,-0.016222049,0.0029890393,0.02691921,-0.0099631995,0.045112737,-0.029313948,-0.016195286,-0.052469473,-0.040062018
-0.0032943352,0.0049000075,-0.015558244,-0.015546726,-0.0056511294,-0.00479813,-0.0050496417,0.010943425,-0.009475244,-0.05141036,-0.021747801
-0.004175477,0.0056269155,-0.014226171,7.4340464e-06,-0.0030294978,-0.019158622,-0.007993136,0.005556965,0.01132285,-0.022714442,-0.02084837
-0.019720392,0.024820933,-0.060884908,0.09654971,0.009311764,-0.17093892,-0.044924967,-0.0122959325,0.17764176,0.05632443,-0.09558191
-0.15034437,0.12095824,0.03616775,0.11539498,-0.023186423,-0.31430325,-0.031547267,0.019351816,0.18254729,0.11216533,-0.029415576
